,CodigoPedido,SKU,NomeProduto,Marca,valorTotal,Mes,Ano
2759,42081562,41130994015208,"Atlas - Revestimento Esmaltado Hexagonal Granel OMD-15208 Antares 41130994015208 (Caixa com 1,03M²) Preço por M²",Atlas,349.3,12,2020
2760,41902137,41130994005029,"Atlas - Revestimento Esmaltado Hexagonal Granel OM-5029 Marfim 41130994005029 (Caixa com 1,03M²) Preço por M²",Atlas,779.03,12,2020
2761,35402306,41130974015645,"Atlas - Revestimento Esmaltado 20X20 Granel OM-15645 Náutico 41130974015645 (Caixa com 1,33M²) Preço por M²",Atlas,410.97,10,2020
2762,50973546,41130974015644,"Atlas - Revestimento Esmaltado 20X20 Granel OM-15644 Murta 41130974015644 (Caixa com 1,33M²) Preço por M²",Atlas,1899.24,4,2021
2763,50994216,41130974015644,"Atlas - Revestimento Esmaltado 20X20 Granel OM-15644 Murta 41130974015644 (Caixa com 1,33M²) Preço por M²",Atlas,1899.24,4,2021
2764,34937365,41130974015641,"Atlas - Revestimento Esmaltado 20X20 Granel OM-15641 Dill 41130974015641 (Caixa com 1,33M²) Preço por M²",Atlas,3600.0,10,2020
2765,36030309,41130974015641,"Atlas - Revestimento Esmaltado 20X20 Granel OM-15641 Dill 41130974015641 (Caixa com 1,33M²) Preço por M²",Atlas,3600.0,10,2020
2766,44764554,41130974014952,"Atlas - Revestimento Esmaltado 20X20 Granel OMD-14952 Fiji 41130974014952 (Caixa com 1,33M²) Preço por M²",Atlas,4548.6,1,2021
2767,46800936,41130911014981,"Atlas - Revestimento Esmaltado 7X26 Junta Amarrada Drop System OMD-14981 Bargana 41130911014981 (Caixa com 1,07M²) Preço por M²",Atlas,173.32,2,2021
2768,36503521,41130831005233,"Atlas - Revestimento Esmaltado 5X10 Junta Amarrada Drop System OB-5233 Glacial 41130831005233 (Caixa com 1,3M²) Preço por M²",Atlas,530.32,10,2020
2769,39174395,41130811015439,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15439 Bali Ad 41130811015439 (Caixa com 1,4M²) Preço por M²",Atlas,856.72,11,2020
2770,68158924,41130811015439,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15439 Bali Ad 41130811015439 (Caixa com 1,4M²) Preço por M²",Atlas,1028.08,9,2021
2771,38653326,41130811015438,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15438 Bali 41130811015438 (Caixa com 1,4M²) Preço por M²",Atlas,3622.18,11,2020
2772,38728804,41130811015438,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15438 Bali 41130811015438 (Caixa com 1,4M²) Preço por M²",Atlas,579.55,11,2020
2773,68158924,41130811015438,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15438 Bali 41130811015438 (Caixa com 1,4M²) Preço por M²",Atlas,4626.34,9,2021
2774,40755760,41130811015438,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15438 Bali 41130811015438 (Caixa com 1,4M²) Preço por M²",Atlas,289.77,12,2020
2775,42362993,41130811015438,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15438 Bali 41130811015438 (Caixa com 1,4M²) Preço por M²",Atlas,1747.03,1,2021
2776,39387507,41130811015250,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15250 Papete Ad 41130811015250 (Caixa com 1,4M²) Preço por M²",Atlas,1358.78,11,2020
2777,39387507,41130811015151,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15151 Papete 41130811015151 (Caixa com 1,4M²) Preço por M²",Atlas,2802.49,11,2020
2778,39663412,41130811015151,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15151 Papete 41130811015151 (Caixa com 1,4M²) Preço por M²",Atlas,9225.72,11,2020
2779,41004842,41130811015151,"Atlas - Revestimento Esmaltado 10X10 Drop System OMD-15151 Papete 41130811015151 (Caixa com 1,4M²) Preço por M²",Atlas,5068.9,12,2020
2780,41581550,42834180,"Gaudi - Porcelanato Linha Cristalli Tuscany Gris Acetinado 81x81cm 42834180 [Pallet com 32 Caixas (Caixa com 1,98m²)] Preço por M²",Gaudi,10452.5,12,2020
2781,43716040,41150214008348,Atlas - Cantoneira Externa 3X10 BP-11 SG-8348 Bermuda 41150214008348 (Caixa com 20 peças) Preço por Peça,Atlas,320.0,1,2021
2782,46522225,41150214014076,Atlas - Cantoneira Externa 3X10 BP-11 SG-14076 Loule 41150214014076 (Caixa com 20 peças) Preço por Peça,Atlas,151.81,2,2021
2783,46542432,26999005,Tarkett - Tarkomassa Fastplan 4Kg 26999005 Preço por Saco,Tarkett,126.76,2,2021
2784,46941314,26999005,Tarkett - Tarkomassa Fastplan 4Kg 26999005 Preço por Saco,Tarkett,103.54,2,2021
2785,44740692,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,119.97,1,2021
2786,45461012,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,125.97,2,2021
2787,46179731,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,599.8,2,2021
2788,46786190,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,71.98,2,2021
2789,46805860,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,71.98,2,2021
2790,47023222,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,71.98,2,2021
2791,57272238,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,335.92,6,2021
2792,59576981,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,251.94,7,2021
2793,65503811,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,350.63,8,2021
2794,65587168,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,350.63,9,2021
2795,67510101,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,400.72,9,2021
2796,68158187,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,100.18,9,2021
2797,50197064,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,287.53,4,2021
2798,51300156,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,41.79,4,2021
2799,51695659,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,125.37,4,2021
2800,51793253,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,125.37,4,2021
2801,54724376,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,208.95,5,2021
2802,55672765,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,125.37,5,2021
2803,47050552,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,71.98,2,2021
2804,47239250,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,232.38,2,2021
2805,47337626,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,1259.7,2,2021
2806,47543233,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,110.97,3,2021
